Comment,Sentiment
"Jerome aku punya ide gimana kalau lain kali Konten kamu ini sebelumnya buka sesi tanya jawab tentang pelajaran di ig terus kamu tampung deh pertanyaan itu dan kamu bisa jawab di youtube ini
Kalau aku sih gitu
Karena kadang² semua pertanyaan kan terbatas untuk jawab nya
Jadi kamu bisa jawab di sini
Ya sama menyenangkan hati orang juga sihh bisa membantu mereka dengan menjawab pertanyaan yg menurut mereka susah

Gitu aja sih, sekian terima kasih banyak untuk jerome sukses selalu ya 😍",Positif
Matematika ilmu yang mematikan jangan mau belajar matematika 😭,Negatif
Ruame poll,Positif
Battle bahasa Jawa sama londokampung (cak dave) dong,Positif
"Next bikin topik pengetahuan umum bang, bintang tamunya terserah bang Jerome",Positif
Mantaapppp,Positif
Mantaappp,Positif
Mantep,Positif
mantap bang,Positif
"Ngakak+reget sendiri aku woeee 😭
Kaya lagi diuji sama dosen matematika aku",Positif
Collab matematika sama chef arnold bang,Positif
Undang tanboykun,Positif
Jessica sama Jess no limit,Positif
"Next, challenge bareng subsribers dong sekali-kali hehe",Positif
Mantab jiwa bosku.,Positif
woke,Netral
Undang tanboykun,Positif
TRENDING YOK BISA YOK,Positif
"Sering bikin ginian banggg ngakak woiii😭😭🤣🤣
Apalagi ada fadillll😭😭🤣🤣🤣",Positif
"bang saran aja tunjukin semuanya sekali"" dalam bentuk 1 zoom",Netral
Sukaaa,Positif
Bang bikin jawaban utuk para subcereber bang plis,Positif
Saran bang disatuin di zoom biar seru,Positif
Part dua,Positif
SAMA SANA(PAUS) DONGGGG BGGGG,Positif
"Jelas lah hansol pinter, makannya KIMCI MULU BRO",Netral
"dulu waktu wawancara mas Hansol dg Dita Karang (Secret Number) di acara KBS Indonesia, mereka berdua sama-sama menyukai pelajaran Matematika waktu sekolah....makanya di sini mas Hansol jawab benar semua",Netral
"Jessica jane, jess no limit, erika richardo, chef arnold",Positif
menurut saya ini lebih seru krn challengenya banyak orang....bagus lagi buat part 2nya..,Positif
Coba Sama Miawaug kk,Netral
Ka Jesica Jane Kaa,Netral
syukaaaaaa,Positif
"nanti collabnya sama fans²nya dong,tapi jan soal matematika 😣",Netral
 @m.raihan9870  nah bener tuh,Netral
NEXTNYA PRILLY LATUCONSINA,Netral
"Seru banget, sering2 ajaa",Positif
Undang Raditya dika,Netral
Pak jokowi,Netral
Lamain bang gue teriak2 smpe gak denger mereka cuy,Positif
"SUKA BANGETTT. KAK NESSIE, JESSICA JANE, KAK TASYA TASYI NEXT YA BANGGG",Positif
Hansol MVP...kalo ada final Hansol ikut lagi...,Positif
AYO BANG CONTENT BEGINI DIBANYAKINNN,Positif
Wkwk,Netral
Lanjutkan jerrr asik parahh,Positif
Seeruu poll,Positif
"Bikin konten yg kaya gini lagi bang jer seru banget aplgi fadil hahaha, otaknyaa mas hansol gilee pinter bgttt",Positif
"Topik nya itu matematika , guest starnya atta halilintar, Afif yulistian, MiawAug,dll",Netral
Huhuhuhu nicee,Positif
Sama jess no limit bang,Netral
seruuu,Positif
bang gua salah cuman satu,Netral
jesicca jane bang,Netral
PART 2,Netral
Bareng lele sama bli turah dong hihi 😂,Netral
seru bangettt!! hahahahaha,Positif
Buat part 2 bang jer 😁,Netral
"Chef Arnold, tretan muslim bang kayaknya seru",Positif
Ayo bang part 2!!!,Netral
Ajak kak nessie bang.,Netral
Ka erika dong pasti seru,Positif
gaskeuun Pengetahuan Umum next part!,Positif
Jangan lupa jessica jane lo ya,Netral
"ka regi miawaug, jer 😁",Netral
"WAH GILA KEREN BANGET, SAYA JADI SUKA MATEMATIKA KALAU GINI MAH",Positif
"part 2 ngajak duo pengacara (yg isinya Vivi, Desti, Bima)",Netral
"Cobain sama food vlogger bang, misalnya Mgdalenaf, Tanboykun, duo pengacara, dll",Netral
"Topik matematika Bintang tamu Raffi ahmad, mgdalena, dan baim wong",Netral
"Bang koleb sama KAYESS ONIC, pasti seru sama dia, dengan ekspresi nya dia",Positif
"Buat langi jerom, sama fadil di ajak lagi.",Netral
"req dong bang jerome, collabs sama anak anak indonesian idol terserah season berapa aja gabungan jg bole, temanya terkait materi seni budaya gitu, pasti menarik banget sih!",Positif
"Ajakin kak najwa shihab, desta, vincent jer😂🤣",Netral
"Topik:Sejarah Negara
Bintang:Nessie,Dedie,Atta,lemon,jess sama Jessica   
Terima Kasih",Netral
Keren si ini,Positif
"Jer, lanjut part 2 dong ,kasih pertanyaan yg kek gambar gambar pola gtu biar aku juga bljr, JD pas Adek gw minta ajarin aku bisa ngajarin ke Adek gw🙏",Positif
Kak Jessica Jane bang.... Sama bang Jess,Netral
"Tasyi atasyia 
Tasya farasya ama jessica jane",Netral
"Nessie judge, jessno limit, raffi ahmad, hirota radifan, zahid azmi 😆🙏",Netral
Bang coba batlle ilmu pengetahuan alam,Netral
Sukakkkk konten iniiii🌟🌟🌟,Positif
Miawaug,Netral
 @depikavln110  maksih,Positif
Mtk spesial para chef,Netral
next Jessica Jane sm Duo Pengacara plisss,Netral
"Pas peluang n deret aku seneng krn bisa jawab 😂😂 n yg terakhir gak kejebak juga... 
Mas hansol mantap nih.. perfecto",Positif
"Bang her harus banget ada lagi nih part part berikutnya, seruuuuu",Positif
ajak keanu jer🤣🤣,Netral
Oghey,Netral
"Vidi aldianoooo jeeeeeeerrrrrr pokonya gamau tau, mau offline nnti atah mau virtual yg penting collab.. kalian kan sama sama smart",Positif
"Setuju bang buat konten kyk ini lgi, ngundang youtuber dan influenser lainnya",Positif
Part 2 baaanggggg,Netral
"Next Rachel Goddard, Pao Pao, Edho Zell, dan Jessica Jane",Netral
"SUKAK BGT JER. BELAJARNYA DAPET, NGAKAKNYA JUGA DAPET!! YOK LANJUTKAN!!!",Positif
"Kak jerome aku dulu mikirnya matematika itu susah banget tapi terus mencoba dan mencoba dan melihat konten2 kak jerome barrel matematika jadi seneng banget,,, di pelajaran yang aku suka belajar matematika dan makasih kak jerome sudah menghibur ku dan di bulan ini harus semangat untuk membuat kontennya untuk mengejar 10jt Subscribe Aamiin",Positif
Suka bgt sama konten yg iniii,Positif
Coba undang bang Radit buat bintang tamu bang,Netral
"Vidi aldianoooo jeeeeeeerrrrrr pokonya gamau tau, mau offline nnti atah mau virtual yg penting collab.. kalian kan sama sama smart",Positif
sukakk bangeetttt,Positif
Seru bgt bang jer!!,Positif
Lanjut,Netral
Per episode,Netral
bintamg tamunya siska kohl gmnaa,Netral
Next youtuber gaming dong bang hihii,Netral
"Battle sama prival al faiz sama miracle sitompul baangg, seruu pastii",Positif
Dila jaidi adeknya bang Fadil kak jerome,Netral
"Vidi aldianoooo jeeeeeeerrrrrr pokonya gamau tau, mau offline nnti atah mau virtual yg penting collab.. kalian kan sama sama smart",Positif
Gass part 2 bg,Netral
"Lain kali pengetahuan umum bang
Atau pelajaran anak IPS",Netral
Ajak juga bang tretan Muslim ikutan,Netral
Paling suka dan seru yang konten ini bisa dapet  pelajaran yang bisa diambil..sukses trus kak jerom...semoga selalu buat konten yang menginspirasi 🤗👍,Positif
SERU BGT BANG JER,Positif
Lanjut bang wkwkk,Netral
"Part selanjutnya bang jer  , biar sekalian belajar hhehee, bang Fadil ngakak banget a 😂😂 sehat selalu bang jer dan Waseda boys semua nya",Positif
yuhuuu,Positif
"Kak ,coba sama artis-artis kaya kak cinta laura,kak febi,kak yuki",Netral
"Saran topik tetap matematika bang, bintang tamunya aja yg di ganti terus 🤣🤣🤣",Netral
"Lanjutkan bang, sama Jessica jane, chef arnold dll",Netral
Gas 🚀,Netral
Sukaa bangeet. Kontennya menghibur dan sekaligus meng-edukasi 😄,Positif
"Kayaknya kalo tentang sejarah seru bang, kalo ga tentang bahasa Indonesia",Positif
"Undang gamer bang.. KO REGI(MIAU AUG), JESS NO LIMIT,AFIF YULISTIAN, Sama CHEF² GITU... CHEF ARNOLD, CHEF RENATA, SAMA CHEF JUNA 🙊😂🤣",Netral
"GASSSS, PART 2 BARENG JESSELYN MCI DONG, JER🔥🔥🔥",Netral
Bang bikin part 2 ya bang plisss,Netral
Seru puuuooollllll,Positif
Belajar matematika lagi bang selanjutnya seru,Positif
"Menurutku, coba lanjutin tes ini ke youtuber/influencer/selebgram/artis/standup comedy atau yg sejenisnya..tapi matematika dulu semua. 
Nanti adain session selanjutnya beda topik, misal pengetahuan umum, sejarah atau yg lain.
Jadi per session per 1 topik pelajaran",Netral
TSANA DONGGGGGGG,Netral
Fitra eri boleh juga dari tamu otomotif,Netral
Buat sama subscriber bang,Netral
Yuhhu,Positif
Sangat bermanfaat dan menghibur bng jer 👍👍mantapujiwaaaaa 🔥🔥🔥,Positif
ska bnget!!!,Positif
Makiinn sukseesssss ka jerome....,Positif
"Tasya farasya, bang raffi sama kak nagita, motomobi, fitra eri, nessie judge",Netral
"suka bnget bang, lanjutin kyak gni dgn topik berbeda, kyak pngethuan umum dll hehe",Positif
"Bang bintang tamunya pemain laporpak(andre taulany,wendi cagur,andika pratama,kiki saputri,ayu tingting,surya insomnia)",Netral
Lanjut kak,Netral
"Bang jer, ajak dara arafah,isyana,keanu,jane,jess",Netral
Seruuu,Positif
Om Deddy Corbuzier,Netral
Seruu kakk.. buat konten yg gini lagi,Positif
"SUKA BANGET JERRRRR, APALAGI ADA BINTANG. NEXT ADA BINTANG LAGI DONGGGGG 😄😄",Positif
A raffi bang,Netral
Lagi bang,Netral
Seru bnggg lanjoootttt,Positif
Saran Via ZOOM kak jeer,Netral
Udang bang Abdur komika,Netral
Ajakin subscribers juga bg😁,Netral
"Next nya sama a raffi, jessica jen pasti seru bg",Positif
Ayo Trendingkan Guys 😁,Netral
"fadil lawak bgt, bintang emon 😂👍",Positif
"Maudi Ayunda, Tasya Kamila, Cinta Laura",Netral
Bang lanjut kontennya yg kyak gini seru dan lucu bang jerome?,Positif
"Maudi Ayunda, Tasya Kamila, Cinta Laura, Prilly Ratukonsina",Netral
"Fadil jaidi: (3) (7,5) (peluang hidup) wkwkwkwkwkkw
bintang emon: waulahualam wkwkwkwkkw",Positif
BANG AJAK BEACONCREAM DONGGGGG KALO BISA HEHE 😂😂😂😂,Netral
Next bang bikin lagi,Netral
GASSSSSSSSS BANG LANJOTTT!!,Netral
Wh gw tlat,Netral
Suka banget baaaang,Positif
Bang jer bikin vlog di atur roulate plis,Netral
Sukaaaaaaaa 😊,Positif
Kak Emon ikut lagi dong seru,Positif
"Topiknya sejarah Indonesia, bintang tamunya animator misal vernalta, tekotok",Netral
"Ini seru, dan memintarkan . Next peserta ada yg mau daftar ??😁",Positif
Klo bs dgn tamu yg sama dulu tp tuker2an nanya nya sesuai keahlian dr tiap tamunya..,Netral
Gas poolll bang,Netral
Kk jessica jen,Netral
Seruuuu lanjut part II Banggg,Positif
Topiknya coba ganti pengetahuan umum bang kayanya seru juga tuh wkwkwk ><,Positif
Klo ka ria ricis di tanya kya gtu seruh kali ya bang😭😂,Positif
"serah dah siapa bintang tamunya tapi PLEASEEE soal matematika lagi yaa bang jerrr, membantu banget soalnya dalam mengingat pelajaran2 SD SMP :') takutnya pas nanti ditanyain kaga tau padahal se simple itu",Positif
Part 2 dong,Netral
Part 2 dong,Netral
Seru banget ka nexttt bikin konten kaya gini yah sama Youtuber yang lain😊,Positif
BIKIN LAGI KONTEN KEK GINI PLISS,Netral
Bang jerome coba kontennya 24 jam bareng lukas kayaknya seru deh🤣🤣,Positif
Ngakak banget bang ngeliat youtuber2 yang lain di tantang matematika 😂🤣😁👍🏻,Positif
"Tentang kata kata bahasa Indonesia sesuai KBBI tuh yang bener yang mana, saran bang muslim hehehe",Netral
"Bintang tamu selanjutnya NATASHA WILONA
gamau tauuu",Netral
"Pengetahuan umum ga sih bang jerome next topik nya? 
Bintang Tamu bebas sih bang wkwkek",Netral
Ngakakkkkk....seruuu.....lucuuu....😍😍😍,Positif
Kak jerome coba dong tes matematika para sultan dong😁,Netral
request undang tutorial hidup alias aul!! Jer,Netral
Sama konten creator gaming Jer contoh Bang Windah Basudara seru pasti😂,Positif
Bang Fadil ngakak parah kali🤣🤣,Positif
ngagak habis dah sama kelakuannya Fadil Jaidi....,Positif
goks jer,Positif
sukaaa bngtt next influencer and youtuber cewe,Positif
Lanjut seru bang,Positif
JESS DAN JESSICA,Netral
Next dedy corbuzier,Netral
Kasih gambar pemandangan indonesia suruh sebutin dimana letakknya,Netral
Wkwkwk,Positif
Part2 kalau bisa sampai YouTube luar negri,Netral
Lanjut part 2 bang,Netral
"Ajakin tim Jurnalrisa bang jer, barengin ngerjainnya rebutan wkwk",Netral
Pas pola aku ikut Mikir karena itu kayak baca grafik saham,Netral
Lanjuuut jer,Netral
"Bang jerome coba Topiknya quiznya: tentang Jepang misalnya  budaya, bahasa dll. 
Dan bintang tamu nya yg familiar dengan Jepang seperti bang upi atau subscriber channel ini jurinya wasedaboys sama bang Jerome",Netral
seru banget,Positif
"Next bintang tamunya ka nessie, sama chef arnold",Netral
"Ide kontennya buagus bangett bang. Paling seneng pas bintang emon kasih motivasi di menit"" terakhir...",Positif
kristo jer,Netral
"Next konten battle matematika bareng bang Fadil, Keanu, sama Emil fiks no debat😭😭😭😭",Netral
seru banget sampe aku ikut ngitung,Positif
Suka bgttt lagi dongg. Jd pengen sekolah lg 🤣,Positif
"Kayanya lebih seru kalo di gabung gitu deh jer, ngakak nya pasti rame wkwkwkw",Positif
Bang Jerome coba colab sama ahli nya bahasa Fiki Naki...,Netral
"Bang, jgn lupa undang si Arman Vesona smenjak dia buat lagu bertema matematika https://youtube.com/c/ArmanVesona",Netral
Lagi ... lagi part 2 bagus 👍👍👍,Positif
SERU BGTTTTT GILAK,Positif
Part selanjutnya untuk artis raffi ahmad dan kawan²,Netral
Batle kaka abdur,Netral
Fadil wajib ikut lagi sii wkwkwk,Netral
"Next peserta ..... !!!! 😁
Memintarkan 👍👍👍👍",Positif
Bang billy hhaaa,Netral
UNDANG BANG PASCOL bang jerome. Pasti seru kontennya,Positif
"Seru banget bang jer,, nonton sambil belajar, next time bisa dilanjut",Positif
FIKI NAKI 🔥🔥,Netral
Collab sama Raditya dika,Netral
UNDANG BANG PASCOL bang jerome. Pasti seru kontennya,Positif
Bahas biologi murnii cz aku dr biologi murni 😁,Netral
saran gue untuk selanjutnya adalahh cerdas cermat pengetahuan umum tp pesertanya pakek zoom,Netral
Apa bang Jerome utusan KEMENDIKBUD ya wkwkwk,Netral
Bang fadil kocak 🤣,Positif
Usahakan 1 bintang tamu ada comic nya ya bang biar cair suasananya kayak bintang tuh wkwk,Netral
"Topik [Sejarah]
Bintang Tamu
-Nessie Judge
-Tasya Farasya
-Nadia Omara",Netral
gas sampe part 10 ilmu lain Sabi kali,Positif
Nex Carlos...wkwwkkwk,Netral
yutuber gamer bang 😭👍🏻,Netral
Bareng komedian dong bang,Netral
"Bang netx 
Tasya farasya
Jessica Jane
Jess no limit
Nesie judge
Duo pengacara
Indira kalishta",Netral
Seru banget,Positif
HARUSSS LANJUTTT GAMAU TAU,Positif
Bikin lagi dong yg gini seruu,Positif
"next collab sama Agnes Mo, Cinta Laura dan Maudy Ayunda",Netral
lagi bang konten kyk gini seru bangettt,Positif
"sama leo, jessica jane, misell, tsana donggg bang jer",Netral
"Bang Jer jangan lupakan konten yang sesuai dengan awal nama chanelnya ""NIHONGO"". Yang dulunya merupakan channel belajar bahasa Jepang",Netral
Buat konten gini lagi jer. Seru. Gua jadi suka matematika.,Positif
Seru bang,Positif
"coba materi selain mtk bang jer kyk sosiologi, sejarah, fisika, ekonomi, biologi, sm akutansi pasti seru deh apa lg kl ngitung neraca saldo pas ga balance😂",Positif
Ajakin Kureiji Ollie Hololive ID adu matematika dong bang,Netral
Lanjut part 2 seru,Positif
Bareng farhan,Netral
Yeay,Positif
 @keysanzaynn  CC tf,Netral
"Desta, vincent, hesty dan enzy",Netral
Setiap buat konten gini wajib ngandani fadillll siiii seru bgt 😭😂,Positif
"Part 2
Lele
Chef Arnold 
Najwa shihab
Isyana
Nessi",Netral
Collab bintang emon lagi bang,Netral
I like this content! Lanjutinn bang,Positif
BANGG JERRR MA CI JANE MA BANG JUSTIN TRUS TU MA KA ERIKA TRUS TUUU SAPA YAA BANG JER AYO DONGG 😭,Netral
IDE MENGGAMBAR,Netral
Part 2 pliss!!,Netral
YouTubers gaming 😻😻,Netral
Seru2 bang lanjutin lagi,Positif
Lanjut ka Jerome part 2 nya. Aku jadi suka matematika,Positif
aaa suka sukaa,Positif
"Berikutx.... Dedy cobuzer, raffi ahmat, leslar",Netral
PART 2 BANG PLSSSS SAMAA KA FADIL DAN BANG EMON SERUUU PASTIII,Positif
Seriussss ngakakkkkkk🤣🤣🤣,Positif
"Suka bgt,sering2 bikin konten spt ini, Refresh otak  rasanya,tx jerome 🙏🙏🙏",Positif
Mungkin topiknya tentang sejarah Indonesia dan bintang tamunya Kak Sunny setelah itu gak tau 🗿,Netral
"Buat part 2 nya bang jerom, sama yang pernah collab game among us mantap tuhh👍",Positif
Pinter banget mas hansol,Positif
Boso jowoan jeer kuisnya coba,Netral
HELP SAYA BUTUH PART 2!!,Positif
Bang Jerome bikin part ²🙏,Netral
"Lanjut bang...
Yg nonton juga bisa ikut mikir gitu ...",Netral
TSANAAAAA,Netral
it's fun,Positif
"Kapan2 sama kak Nessi dong
Seru pasti !",Positif
Next aul,Netral
ajak kak nesssssii,Netral
ramein,Positif
Nessie jer,Netral
Next tambahin Nessie judge 👍👍,Netral
Nextnya Arief Muhammad,Netral
Bintang tamu nya kang ariel noah dongg bang jeromee,Netral
Part 2 kak!!,Netral
SUKA BANGET BANG JEROMEEEE NEXT BIKIN LAGI YAAA SAMBIL BELAJAR GINIIII ASIKK,Positif
Part nya Fadil bikin ngakak🤣🤣🤣🤣,Positif
"Lanjut,tangtangin Deddy Corbuzier,Fiki Naki,Arnold Poernomo,Wilgoz.",Netral
Ayoo jer ditunggu part 10000000 nya x,Netral
"Mas Jerome jajal jenengan collab kaleh Deddy Corbuzier, tretan muslim",Netral
"mau saran bintang tamu bang. ka tasyi, nagita slavina &raffi ahmad, nessie, jane&jess no limit",Netral
Seruuu... Sering buat konten gini 👍,Positif
Abis ini undang Jessica Jane dan jess no limit lagi ya jer ?!¡???,Netral
"Request bintang tamunya: Tasyi, Bang Armuh, Najwa Shihab😂",Netral
Mantappu jiwa,Positif
Mntp,Positif
Bang jerome buat lagi dong tentang sejarah,Netral
Sekali kali bintang tamu nya artis cewek dung 🤣,Netral
Abis nih ka gigi yaa,Netral
Om dedy cobuzer...tantangin jer...,Netral
Kk tasyi bg 😁,Netral
"Kerennn kontennya, ayo banyakin lagi yg kaya gini ka 👍👌",Positif
Kk tasyi dan kk Jesica jane bg 😁,Netral
"Kak Tasya, Tasyi, Pak Desta,",Netral
Chef Arnold !!!,Netral
Jer bikin olimpiade antar artis yang menang dapet hadiah bikin 2 3 grup... 3-4 ronde biar seru....,Positif
Seruuu tau jer lanjutkonten gini,Positif
sebenernya ini pelajaran yang gw pelajari sekarang,Netral
"Wajib ada part selanjutnya wk, ajak Prilly Latuconsina, Ikbal Ramadhan, nissie, Jesica jane",Netral
17:42 bang David cara bicaranya ngingetin sama Kevin,Netral
"Suka konten bg jer yg ini, mgkn jangan banyak pesertanya. Trus juga suka sama bg emon cara dia mikir",Positif
Tentang sejarah dong kak,Netral
"Ditunggu part 2 yaaaa,,, seru bgt..",Positif
"lanjut bang jer, ditunggu part 2 nya",Netral
SERUUUUU LAGI LAGI 😆😆😆😂😂😂,Positif
"Sukak pakai banget....👍👍👍
Undang nexcarlos dong bang jer",Positif
"Ajak komedian bang, pasti seru sihh. Vidio ny bakal full ngakak semua",Positif
Part 2 bg.......,Netral
"banyakin konten yg collab bareng youtuber lain dong bang, seru liat konten yang rame kaya gini🤣",Positif
Lanjutkaaannn,Netral
om deddy,Netral
fadillll fix kudu ada wkwkwk,Positif
"SERU BGT DAH, gua paling ngakak sama fadil dan bintang emon wkwk tp overall 30 mnt an nonton ini ga berasaaa. asikkkk bgt 🤩",Positif
Yukk trending yukk... biar semua tau matematika ktu menyenangkann,Positif
"Saran aja, next kalo bisa pake aplikasi zoom bang",Netral
"next :  tsana, ziva magnolya, kiky saputri, deddy cobuzer, chef arnold",Netral
Next bang!,Netral
bareng ka jesica jane + youtuber gaming kak,Netral
Suka banget konten ini... Seru.. Lucu.. Kocak abis...😋😌😂😂,Positif
"ASLII SERUU BANGG, GASS PART 2 YAA!!😋 TADI GADA NIAT BUKA NI VIDIO UDAH BAU""EMTEKA😭 TERNYATA SERUU PARAHH MAKASII BANGG MOOD GUE JADI NAIKK📈👍🏻 SMANGATT NGONTENNYAA, GBU!!💜",Positif
Keren jd ikut berpikir 🤭🤭🤭🤭,Positif
"Ganti² juga topik pelajaran nya jer, kasih quis ilmu pengetahuan umum 🤣",Netral
"next 
jess no limit & jesika jane ( Yutuber)
Tsana (Penulis)
Tasya Farasya ( influenser)
Marsel Widianto ( Komedian)
Erika Rikardo ( Tiktoker)
Ziva Magnolya ( penyanyi)
Chef Arnold (chef)
Deddy corbuzer ( yutuber)",Netral
NERF MAS HANSOL. Kami butuh circle kyk bintang sama fadil wkwkwk,Positif
Ajak Yudish Ardhana dan Ewing HD juga,Netral
BANYAKIN KONTEN GINI PLIS NGAKAK BGTTT WOIII,Positif
Sukaaa banget,Positif
Sama subscribe bang jerome,Netral
Jadi nonton aambil ikutan jawab,Netral
Next Bintang tamunya duo pengacara sekalian sama bang bima lalu aa utap bisa kali kalo topik mtk ato bhs jepang ajak waseda boys kalo bisa 👍,Netral
Sukaaa bangeeetttt konten giniii 😍😍,Positif
Sukaaaa,Positif
Sama aulion bang,Netral
Part 2 jerrr,Netral
2 Jess bang,Netral
"Ppkn aja bintang tamu nya Arief muhammad,bang arap,om eja tiktok,ibnu wardani,duo pengacara,samsolese",Netral
suka banget bong kak jerom,Positif
Klo bisa ngajak subscriber jg dong,Netral
"Iya bang coba bareng youtuber gamer kyk miawaug,afif,the jooomers,epun,devin,dll seru sih wkwkwk",Positif
"suka banget,next konten kek gini ya bang
sambil nambah wawasan belajar mate🥺",Positif
Lanjut konten yg ky gini LG kak dengan oersonil yg lebih gila 😅😂,Positif
Bang jer hari sel besok ak ulangan mtk ajarin bang ahhahaha,Netral
Bang hansol pinter oii...,Positif
Ditunggu part selanjutnya ya... malam menjelang senin mayan fresh,Positif
"Rafi ahmad ,baim wong ,bang atta ,jesnolimit ,dedi cobusyer",Netral
Topik nya mtk/sejarah,Netral
Ajakin ka tsana dong by jerrr,Netral
"TANBOYKUN, ATTA HALILINTAR,DLL",Netral
Sukalah lanjutkan,Positif
Pelajaran Bahasa Indonesia. Bintang tamu terserah. Syukur yang sejenis Mas Hansol,Netral
"Fadil undang lagii jerr , kocak parah",Positif
Part 2 bang,Netral
Bintang tamu raditya dika oke kali ya,Netral
"Milhya, Tara Art jer",Netral
sukaaaa sambil ngerjain jugaa wkkwkw,Positif
Bang collab baareng fadil jaidi dong pasti seru,Positif
Keep bintang emon dan fadil buat next episode!!!!!!,Netral
"Kak. Besok part 2 nya buat kak Keanu, cellos, Jesika Jane, jesno limit, rafi Ahmad, sama kak Nagita bang",Netral
"Seruuu banget, sampe ga kerasa tau2 udah abis aja videonya 🤣",Positif
"Bikin kaya kelas belajar gitu temanya tapi ada murid tetapnya (mas handsol, Fadil, bintang sama David) terus tambahannya murid tamu aja",Netral
"Seru banget, harus ada lanjutannya sih fix. Ditunggu collab bareng influencer yang lainnya.",Positif
Chelsea van meijr,Netral
Konten ini yang sangat dibutuhkan untuk menghilangkan rasa kebosanan pada saat pandemi..,Positif
SEEEEERRRRRRRRUUUUUUUUUUUUUUUUUUUUU BANGEEEEEEEET,Positif
"OM DEDI , BANG UUS , ditunggu yaaa xixixix",Positif
Hahahaha macem lg ngerjain soal TIU CPNS 🤣🤣🤣,Netral
Collab sama prilly latuconsina😍😍,Netral
"Ih kok seneng banget yah bisa jawab soal dr jerom haha eh tapi aku salah 1 yg di soal segitiga beneran lupa aku hehe soal terakhir juga tp lgsg ingat kalibataku kali dulu baru tambah, seru banget nih, matematika mmg seru, tp kalo gak nemu jawabannya puyeng wkwkwk",Positif
Seru bgt bang tp lbh seru klo vidio mrka smw inframe breng2...sma2 pas lg itung bs saling liat ..,Positif
MANTAPLAH KONTENNYA DURASI 30 MENITAN wkwkwkwk.. GBU,Positif
Duo pengacara,Netral
"Bikin konten kaya gini lagi bang 😂😂, Seru Bangettt",Positif
